 ,Area,Mean,StdDev,Min,Max,X,Y,Perim.,Major,Minor,Angle,Feret,FeretX,FeretY,FeretAngle,MinFeret
133,4,244.750,0.500,244,245,806.000,679.000,5.657,2.257,2.257,0.000,2.828,805,678,135.000,2.000
134,551,241.390,3.567,225,245,913.685,696.671,147.581,46.211,15.181,24.439,53.000,893,709,31.891,21.271
135,6,244.333,1.033,243,245,388.500,681.000,7.657,3.385,2.257,0.000,3.606,387,680,146.310,2.000
136,26,243.231,1.394,241,245,818.077,688.423,18.142,6.655,4.974,4.967,7.280,815,687,164.055,5.000
137,1,245.000,0.000,245,245,924.500,686.500,2.828,1.128,1.128,0.000,1.414,924,686,135.000,1.000
138,28,243.964,1.201,241,245,808.214,689.000,19.899,8.396,4.246,174.507,8.544,804,688,159.444,4.000
139,1,245.000,0.000,245,245,443.500,688.500,2.828,1.128,1.128,0.000,1.414,443,688,135.000,1.000
140,72,243.014,2.179,238,245,401.986,697.069,40.284,12.642,7.252,104.406,15.232,401,689,113.199,9.121
141,2,245.000,0.000,245,245,799.000,691.500,4.243,2.257,1.128,0.000,2.236,798,691,153.435,1.000
142,10,244.600,0.516,244,245,954.400,693.100,13.657,6.132,2.076,6.021,6.325,951,694,18.435,2.000
143,1,245.000,0.000,245,245,390.500,694.500,2.828,1.128,1.128,0.000,1.414,390,694,135.000,1.000
144,2,244.000,0.000,244,244,626.500,696.000,4.828,2.257,1.128,90.000,2.236,626,695,116.565,1.000
145,1,245.000,0.000,245,245,494.500,697.500,2.828,1.128,1.128,0.000,1.414,494,697,135.000,1.000
146,1,245.000,0.000,245,245,550.500,697.500,2.828,1.128,1.128,0.000,1.414,550,697,135.000,1.000
147,2,245.000,0.000,245,245,949.000,697.500,4.243,2.257,1.128,0.000,2.236,948,697,153.435,1.000
148,4,245.000,0.000,245,245,671.500,701.000,7.071,3.216,1.583,148.283,3.606,670,700,146.310,2.000
149,6,245.000,0.000,245,245,890.333,701.500,8.485,3.718,2.055,53.130,4.243,889,703,45.000,2.683
150,4,245.000,0.000,245,245,516.500,704.750,7.071,2.734,1.863,0.000,3.162,515,704,161.565,2.000
151,8,244.500,0.535,244,245,697.375,712.625,9.071,3.538,2.879,135.000,4.243,696,711,135.000,3.000
152,27,244.370,0.742,243,245,487.722,717.056,24.142,8.904,3.861,156.355,10.440,482,715,163.301,5.000
153,10,244.000,0.816,243,245,519.200,728.300,11.071,4.456,2.857,161.778,5.000,517,727,143.130,3.000
154,160,240.594,3.630,231,245,608.425,735.631,50.284,15.064,13.523,25.382,16.971,604,728,135.000,14.000
155,9,244.000,1.000,243,245,524.722,729.944,11.657,5.229,2.191,175.269,5.385,522,729,158.199,2.000
156,30,244.567,0.504,244,245,776.400,732.333,22.142,9.176,4.163,33.602,10.000,772,735,36.870,5.200
157,10,244.900,0.316,244,245,627.100,734.900,13.071,5.228,2.435,103.608,5.831,626,732,120.964,3.000
158,3,245.000,0.000,245,245,680.167,735.500,7.657,3.213,1.189,61.845,3.606,679,737,56.310,1.789
159,10,244.500,0.527,244,245,752.400,738.300,11.899,4.639,2.745,20.621,5.385,750,739,21.801,3.000
160,5,244.000,0.707,243,245,624.300,739.900,7.071,3.144,2.025,18.435,3.606,623,741,33.690,2.000
161,44,243.955,1.200,241,245,722.432,742.500,28.042,9.555,5.863,4.655,11.180,717,741,169.695,6.740
162,2,244.500,0.707,244,245,760.000,741.500,4.243,2.257,1.128,0.000,2.236,759,741,153.435,1.000
163,10,244.500,0.850,243,245,687.300,743.500,11.071,3.966,3.210,0.000,4.472,685,743,153.435,3.000
164,1,245.000,0.000,245,245,677.500,745.500,2.828,1.128,1.128,0.000,1.414,677,745,135.000,1.000
165,295,226.678,14.681,195,245,22.717,819.066,83.698,30.446,12.337,3.050,31.321,7,825,16.699,13.000
